Google Chrome 输入验证错误漏洞|CNNVD-202202-038|2022-02-01|2022-04-12| |中危|输入验证错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在输入验证错误漏洞，该漏洞源于在全屏模式中不正确的实现。远程攻击者可利用该漏洞可以创建一个特别制作的网页，欺骗受害者访问它，并危害系统。|CVE-2022-0455| | | | | | | | 
MariaDB 代码问题漏洞|CNNVD-202202-005|2022-02-01|2022-09-14| |中危|代码问题|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 中存在代码问题漏洞，该漏洞源于产品sql_parse.cc文件未对used_tables异常做有效处理。攻击者可通过该漏洞导致程序崩溃。以下产品及版本受到影响：MariaDB 10.5.9 版本。|CVE-2021-46665| | | | | | | | 
Google Chrome 访问控制错误漏洞|CNNVD-202202-019|2022-02-01|2022-04-13| |中危|授权问题|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在访问控制错误漏洞，该漏洞源于COOP中访问限制不当。远程攻击者可利用该漏洞可以创建一个特别设计的网页，欺骗受害者访问它，绕过实现的安全限制，并获得对敏感信息的未经授权的访问。|CVE-2022-0461| | | | | | | | 
Advantech 信任管理问题漏洞|CNNVD-202202-094|2022-02-01|2022-02-28| |超危|信任管理问题|Advantech是中国Advantech公司的一个应用系统提供智能电动客车管理系统 Advantech ADAM-3600 中存在信任管理问题漏洞，该漏洞源于项目文件夹中有一个硬编码的私有密钥可用，攻击者可利用该漏洞实现Web Server登录并执行进一步的操作。|CVE-2022-22987| | | | | | | | 
MariaDB 代码问题漏洞|CNNVD-202202-006|2022-02-01|2022-06-02| |中危|代码问题|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 存在代码问题漏洞，该漏洞源于产品HAVING子句到WHERE子句的下推处理不当。攻击者可通过该漏洞导致程序崩溃。以下产品及版本受到影响：MariaDB 10.6.2 之前版本。|CVE-2021-46666| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-084|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin GDPR 插件存在跨站脚本漏洞，该漏洞源于1.9.27之前的WordPress GDPR WordPress插件的检查隐私设置AJAX动作，对未经认证和已认证的用户都可用，响应JSON数据，而不是应用JSON内容类型。由于HTML有效载荷没有被正确转义，它可能被web浏览器解释到这个端点。Javascript代码可能会在受害者的浏览器上执行。|CVE-2022-0220| | | | | | | | 
Django 跨站脚本漏洞|CNNVD-202202-020|2022-02-01|2022-10-17| |中危|跨站脚本|Django是Django基金会的一套基于Python语言的开源Web应用框架。该框架包括面向对象的映射器、视图系统、模板系统等。 Django 中存在跨站脚本漏洞，该漏洞源于产品的{% debug %}模版标签不能正确的编码上下文数据。攻击者可通过该漏洞执行客户端代码。以下产品及版本受到影响：Django 2.2.27 之前版本，Django 3.2.12 之前版本，Django 4.0.2 之前版本。|CVE-2022-22818| | | | | | | | 
Sealevel Systems SeaConnect 370W 缓冲区错误漏洞|CNNVD-202202-097|2022-02-01|2022-08-01| |超危|缓冲区错误|Sealevel Systems SeaConnect 370W是美国Sealevel Systems公司的一款工业物联网（Iiot）边缘设备。用于远程监视和控制实际 I/O 进程的状态。 Sealevel Systems SeaConnect 370W 中存在缓冲区错误漏洞，该漏洞源于产品的NBNS功能未对内存边界做有效限制。攻击者可通过特制的网络包导致远程代码执行。以下产品及版本受到影响：Sealevel Systems SeaConnect 370W v1.3.34。|CVE-2021-21961| | | | | | | | 
Django 代码问题漏洞|CNNVD-202202-022|2022-02-01|2022-10-17| |高危|代码问题|Django是Django基金会的一套基于Python语言的开源Web应用框架。该框架包括面向对象的映射器、视图系统、模板系统等。 Django 中存在代码问题漏洞，该漏洞源于产品的MultiPartParser在处理多部分表单是存在错误。攻击者可通过该漏洞导致无限循环。以下产品及版本受到影响：Django 2.2.27 之前版本，Django 3.2.12 之前版本，Django 4.0.2 之前版本。|CVE-2022-23833| | | | | | | | 
WordPress Contact Form 7 Skins plugin 跨站脚本漏洞|CNNVD-202202-060|2022-02-01|2022-03-10| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 WordPress Contact Form 7 Skins plugin 2.5.0及之前版本存在跨站脚本漏洞，该漏洞源于在输出到管理页面之前没有对tab参数进行转义，导致了一个反射型跨站脚本。|CVE-2021-25063| | | | | | | | 
Elite Graphix Elite Cms 安全漏洞|CNNVD-202202-064|2022-02-01|2022-03-10| |超危|其他|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms 存在安全漏洞，攻击者可利用该漏洞删除任意文件。|CVE-2022-24218| | | | | | | | 
WordPress 安全漏洞|CNNVD-202202-075|2022-02-01|2022-03-10| |高危|其他|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin Link Library plugin 7.2.8 之前版本存在安全漏洞，该漏洞源于在删除链接时没有授权，允许未经身份验证的用户通过精心设计的请求删除任意链接。|CVE-2021-25093| | | | | | | | 
WordPress plugin跨站脚本漏洞|CNNVD-202202-054|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Visual CSS Style Editor WordPress plugin 7.5.4 之前版本存在跨站脚本漏洞，该漏洞源于没有对wyp_page_type参数进行清理和转义。|CVE-2021-24934| | | | | | | | 
Elite Graphix Elite Cms SQL注入漏洞|CNNVD-202202-071|2022-02-01|2022-02-09| |超危|SQL注入|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms 存在SQL注入漏洞，该漏洞源于基于数据库的应用缺少对外部输入SQL语句的验证。攻击者可利用该漏洞执行非法SQL命令。|CVE-2022-24222| | | | | | | | 
Sealevel Systems SeaConnect 370W 缓冲区错误漏洞|CNNVD-202202-096|2022-02-01|2022-08-01| |超危|缓冲区错误|Sealevel Systems SeaConnect 370W是美国Sealevel Systems公司的一款工业物联网（Iiot）边缘设备。用于远程监视和控制实际 I/O 进程的状态。 Sealevel Systems SeaConnect 370W 中存在缓冲区错误漏洞，该漏洞源于产品未对内存边界做有效限制。攻击者可通过特制的网络包导致远程代码执行。以下产品及版本受到影响：Sealevel Systems SeaConnect 370W v1.3.34。|CVE-2021-21960| | | | | | | | 
WordPress 跨站脚本漏洞|CNNVD-202202-050|2022-02-01|2022-03-10| |超危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin GDPR 1.9.26之前版本存在跨站脚本漏洞。攻击者利用Javascript代码可能会在受害者的浏览器上执行。如果受害者是一个拥有有效会话cookie的管理员，则可能会获得WordPress实例的完全控制。|CVE-2021-24814| | | | | | | | 
radare2 代码问题漏洞|CNNVD-202202-030|2022-02-01|2022-05-26| |中危|代码问题|radare2是一套用于处理二进制文件的库和工具。 radare2 存在代码问题漏洞，该漏洞源于在6.0.0之前，在GitHub存储库radareorg radare2中取消空指针引用。|CVE-2022-0419| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-024|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，该漏洞源于缩略图标签条组件内的使用后免费错误。远程攻击者可利用该漏洞可以创建一个特别制作的网页，诱骗受害者访问它，触发使用后免费错误，并在目标系统上执行任意代码。|CVE-2022-0458| | | | | | | | 
vim 缓冲区错误漏洞|CNNVD-202202-089|2022-02-01|2022-08-22| |高危|缓冲区错误|Vim是一款基于UNIX平台的编辑器。 vim存在安全漏洞，该漏洞源于这个漏洞允许攻击者可利用该漏洞输入一个特别制作的文件，导致崩溃或代码执行。|CVE-2022-0417| | | | | | | | 
Nimforum 授权问题漏洞|CNNVD-202202-031|2022-02-01|2022-02-15| |高危|授权问题|Nimforum是一个轻量级的论坛实现，与 Discourse 有许多相似之处。它以Nim编程语言实现，并使用 SQLite 作为其数据库。 Nimforum 存在授权问题漏洞，该漏洞源于任何论坛用户都可以创建一个包含引用主机操作系统本地文件的帖子从而Nimforum将渲染文件。|CVE-2022-23602| | | | | | | | 
iText 缓冲区错误漏洞|CNNVD-202202-077|2022-02-01|2022-11-01| |中危|缓冲区错误|iText是Java中用于创建和操作PDF文件的开源库。它是由Bruno Lowagie、Paulo Soares等人编写的。 iText 存在缓冲区错误漏洞，该漏洞源于iText v7.1.17组件readStreamBytesRaw包含内存不足错误，攻击者可利用该漏洞通过精心制作的PDF文件导致拒绝服务(DoS)。|CVE-2022-24198| | | | | | | | 
WordPress plugin 跨站请求伪造漏洞|CNNVD-202202-065|2022-02-01|2022-03-05| |中危|跨站请求伪造|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin NextScripts: Social Networks Auto-Poster plugin 4.3.25之前版本存在跨站请求伪造漏洞，该漏洞源于在删除项目时没有CSRF检查功能，允许攻击者利用该漏洞登录管理员账户删除任意帖子。|CVE-2021-25072| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-042|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin Learning Courses 5.0之前版本存在跨站脚本漏洞，该漏洞可能允许高权限用户执行跨站点脚本攻击。|CVE-2021-24707| | | | | | | | 
Elite Graphix Elite Cms SQL注入漏洞|CNNVD-202202-066|2022-02-01|2022-02-09| |超危|SQL注入|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms存在SQL注入漏洞，该漏洞源于基于数据库的应用缺少对外部输入SQL语句的验证。攻击者可利用该漏洞执行非法SQL命令。|CVE-2022-24219| | | | | | | | 
WordPress 安全漏洞|CNNVD-202202-049|2022-02-01|2022-03-10| |中危|其他|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Document Embedder WordPress plugin 1.7.5之前版本存在安全漏洞，该漏洞允许未经身份验证的用户枚举任意私有和草稿文章的标题。|CVE-2021-24775| | | | | | | | 
treq 信息泄露漏洞|CNNVD-202202-032|2022-02-01|2022-03-21| |高危|信息泄露|treq是一个高级 Twisted HTTP 客户端 API。 treq 存在信息泄露漏洞，攻击者通过该漏洞可以获取敏感信息。|CVE-2022-23607| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-040|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 Wordpress Plugin RegistrationMagic 中存在跨站脚本漏洞，该漏洞源于产品的rm_search_value函数未对数据中的特殊字符做有效处理。攻击者可通过该漏洞导致客户端代码执行。以下产品及版本受到影响：Wordpress Plugin RegistrationMagic 5.0.1.9 之前版本。|CVE-2021-24648| | | | | | | | 
iText 缓冲区错误漏洞|CNNVD-202202-076|2022-02-01|2022-04-14| |中危|缓冲区错误|iText是Java中用于创建和操作PDF文件的开源库。它是由Bruno Lowagie、Paulo Soares等人编写的。 iText存在缓冲区错误漏洞，该漏洞源于iText v7.1.17组件readStreamBytesRaw包含内存不足错误，攻击者可利用该漏洞通过精心制作的PDF文件导致拒绝服务(DoS)。|CVE-2022-24197| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-021|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，该漏洞源于窗口对话框中的使用后免费错误。远程攻击者可利用该漏洞可以诱骗受害者访问专门设计的网页，触发免费使用后错误，并获得敏感信息的访问权。|CVE-2022-0460| | | | | | | | 
Ricon Industrial Cellular Router S9922L 操作系统命令注入漏洞|CNNVD-202202-093|2022-02-01|2022-03-10| |超危|授权问题|Ricon Mobile Ricon Industrial Cellular Router S9922L是加拿大瑞康移动（Ricon Mobile）公司的一款基于4G/4.5G，WiFi和Vpn技术的移动网络路由器。用于智能交通、Scada、Pos、工业自动化、遥测、金融、环保等诸多领域。 Ricon Industrial Cellular Router S9922L 中存在操作系统命令注入漏洞，该漏洞源于产品未对输入数据中的特殊字符做有效验证。经过身份验证的攻击者可通过该漏洞以admin账户执行任意shell命令。|CVE-2022-0365| | | | | | | | 
Sourcecodester Simple Client Management System SQL注入漏洞|CNNVD-202202-091|2022-02-01|2022-03-05| |超危|SQL注入|Sourcecodester Simple Client Management System是一个简单的基于 Web 的应用程序，它提供了一个在线平台来管理公司客户的发票。 Sourcecodester Simple Client Management System存在SQL注入漏洞，该漏洞源于通过login.php中的用户名字段，Sourcecodester Simple Client Management System 1.0存在SQL注入漏洞。|CVE-2021-43510| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-056|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，远程攻击者可利用该漏洞可以创建一个特别制作的网页，诱骗受害者访问它，触发使用后免费错误，并在目标系统上执行任意代码|CVE-2022-0453| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-023|2022-02-01|2022-04-12| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，该漏洞源于屏幕捕获组件内的使用后免费错误。远程攻击者可利用该漏洞可以创建一个特别制作的网页，诱骗受害者访问它，触发使用后免费错误，并在目标系统上执行任意代码。|CVE-2022-0459| | | | | | | | 
WordPress和WordPress plugin 跨站脚本漏洞|CNNVD-202202-041|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 SVG Support WordPress plugin 2.3.20之前版本存在跨站脚本漏洞，该漏洞可能会允许高权限用户执行跨站点脚本攻击。|CVE-2021-24686| | | | | | | | 
MariaDB 代码问题漏洞|CNNVD-202202-004|2022-02-01|2022-09-14| |中危|代码问题|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 中存在代码问题漏洞，该漏洞源于产品的aggr功能允许传入一个sub_select_postjoin_aggr空值并导致应用程序错误。以下产品及版本受到影响：MariaDB 10.5.9 版本。|CVE-2021-46664| | | | | | | | 
Wordpress Plugin跨站脚本漏洞|CNNVD-202202-025|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Wordpress Plugin Domain Check 中存在跨站脚本漏洞，该漏洞源于产品在输出到页面时未能正确处理domain参数数据。攻击者可通过该漏洞导致客户端代码执行。以下产品及版本受到影响：Wordpress Plugin Domain Check 1.0.17 之前版本。|CVE-2021-24926| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-047|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin Perfect Survey 1.5.2版本及之前版本存在跨站脚本漏洞，该漏洞源于不会验证和转义X-Forwarded-For头值，从而导致存储的跨站点脚本问题。|CVE-2021-24765| | | | | | | | 
WordPress plugin跨站脚本漏洞|CNNVD-202202-057|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 NextScripts: Social Networks Auto-Poster WordPress plugin 4.3.24之前版本存在跨站脚本漏洞，该漏洞源于在将日志请求输出到相关管理仪表板之前没有进行转义，导致未经身份验证的存储跨站点脚本问题。|CVE-2021-24975| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-068|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin WOOF plugin 1.2.6.3 之前版本存在跨站脚本漏洞，该漏洞源于没有对woof_redraw_elements进行转义，导致了一个反射型跨站脚本。|CVE-2021-25085| | | | | | | | 
Eclipse Wakaama 缓冲区错误漏洞|CNNVD-202202-033|2022-02-01|2022-02-16| |高危|缓冲区错误|Eclipse Wakaama是Eclipse基金会的一款基于C语言的、OMA LWM2M协议的开源实现。 Eclipse Wakaama 2021-01-14及之前版本存在缓冲区错误漏洞，该漏洞源于CoAP解析代码不能正确地清理网络接收的数据。|CVE-2021-41040| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-017|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，远程攻击者可利用该漏洞可以诱骗受害者访问专门设计的网页，触发“免费使用后”错误，并获得敏感信息的访问权。|CVE-2022-0463| | | | | | | | 
Elite Graphix Elite Cms SQL注入漏洞|CNNVD-202202-069|2022-02-01|2022-02-09| |超危|SQL注入|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms存在SQL注入漏洞，该漏洞源于基于数据库的应用缺少对外部输入SQL语句的验证。攻击者可利用该漏洞执行非法SQL命令。|CVE-2022-24221| | | | | | | | 
Junrar 安全漏洞|CNNVD-202202-036|2022-02-01|2022-07-05| |高危|其他|Junrar是一个普通 Java Unrar 库。用于读取和提取 .Rar 文件。 Junrar 存在安全漏洞，该漏洞源于通过构建RAR存档会触发无限循环。|CVE-2022-23596| | | | | | | | 
MariaDB 代码问题漏洞|CNNVD-202202-002|2022-02-01|2022-06-02| |中危|代码问题|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 中存在代码问题漏洞, 该漏洞源于产品允许通过在Update语句中嵌套自查询导致var.cc程序崩溃。以下产品及版本受到影响：MariaDB 10.5.9 版本。|CVE-2021-46662| | | | | | | | 
WordPress 安全漏洞|CNNVD-202202-051|2022-02-01|2022-03-10| |中危|其他|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Document Embedder WordPress plugin 1.7.9之前版本存在安全漏洞，该漏洞允许任何经过身份验证的用户枚举任意私有和草稿文章的标题。|CVE-2021-24868| | | | | | | | 
iText 安全漏洞|CNNVD-202202-074|2022-02-01|2022-04-13| |中危|其他|iText是Java中用于创建和操作PDF文件的开源库。它是由Bruno Lowagie、Paulo Soares等人编写的。 iText存在安全漏洞，该漏洞源于iText v7.1.17组件readStreamBytesRaw包含内存不足错误，攻击者可利用该漏洞通过精心制作的PDF文件导致拒绝服务(DoS)。|CVE-2022-24196| | | | | | | | 
Elite Graphix Elite Cms SQL注入漏洞|CNNVD-202202-067|2022-02-01|2022-02-09| |超危|SQL注入|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms存在SQL注入漏洞，该漏洞源于基于数据库的应用缺少对外部输入SQL语句的验证。攻击者可利用该漏洞执行非法SQL命令。|CVE-2022-24220| | | | | | | | 
Elite Graphix Elite Cms 安全漏洞|CNNVD-202202-062|2022-02-01|2022-03-10| |超危|其他|Elite Graphix Elite Cms是印度Elite Graphix公司的一个用 Php 语言编写的 Web 内容管理。用于存储和组织信息和文档的平台。 Elite Graphix Elite Cms v1.0存在安全漏洞，该漏洞源于易受不安全权限通过管理上传.php。|CVE-2021-46093| | | | | | | | 
WordPress pluginSQL注入漏洞|CNNVD-202202-043|2022-02-01|2022-03-05| |超危|SQL注入|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Perfect Survey WordPress plugin 1.5.2之前版本存在SQL注入漏洞，该漏洞源于基于数据库的应用缺少对外部输入SQL语句的验证。攻击者可利用该漏洞执行非法SQL命令。|CVE-2021-24762| | | | | | | | 
RosarioSis 跨站脚本漏洞|CNNVD-202202-083|2022-02-01|2022-02-09| |中危|跨站脚本|RosarioSis是一个免费和开源的学生信息系统。用于管理学生，创建报告并做出正确的决策。 RosarioSIS 8.2.1存在跨站脚本漏洞，该漏洞允许攻击者可利用该漏洞通过调度课程.php脚本模块中的搜索词参数注入任意HTML。|CVE-2021-45416| | | | | | | | 
Google Chrome 安全特征问题漏洞|CNNVD-202202-018|2022-02-01|2022-04-13| |中危|授权问题|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在安全特征问题漏洞，远程攻击者可利用该漏洞可以创建一个特别设计的网页，欺骗受害者访问它并获得敏感信息。|CVE-2022-0462| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-010|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，远程攻击者可利用该漏洞可以诱骗受害者访问专门设计的网页，触发免费使用后错误，并获得敏感信息的访问权。|CVE-2022-0469| | | | | | | | 
Sealevel Systems SeaConnect 370W 缓冲区错误漏洞|CNNVD-202202-085|2022-02-01|2022-04-22| |中危|缓冲区错误|Sealevel Systems SeaConnect 370W是美国Sealevel Systems公司的一款工业物联网（Iiot）边缘设备。用于远程监视和控制实际 I/O 进程的状态。 Sealevel Systems SeaConnect 370W 中存在缓冲区错误漏洞，该漏洞源于产品的 OTA update task 功能未对内存边界做有效限制。攻击者可通过特制的网络包导致越界写入并引起拒绝服务。以下产品及版本受到影响：Sealevel Systems SeaConnect 370W v1.3.34。|CVE-2021-21967| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-015|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，远程攻击者可利用该漏洞可以诱骗受害者访问专门设计的网页，触发免费使用后错误，并获得敏感信息的访问权。|CVE-2022-0465| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-016|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，远程攻击者可利用该漏洞可以诱骗受害者访问专门设计的网页，触发免费使用后错误，并获得敏感信息的访问权。|CVE-2022-0464| | | | | | | | 
Sealevel Systems SeaConnect 370W 输入验证错误漏洞|CNNVD-202202-099|2022-02-01|2022-10-08| |高危|输入验证错误|Sealevel Systems SeaConnect 370W是美国Sealevel Systems公司的一款工业物联网（Iiot）边缘设备。用于远程监视和控制实际 I/O 进程的状态。 Sealevel Systems SeaConnect 370W 存在输入验证错误漏洞，该漏洞源于产品OTA update task功能未对文件写功能做有效限制。攻击者可通过专门制作的MQTT负载导致任文件覆盖。以下产品及版本受到影响：Sealevel Systems SeaConnect 370W v1.3.34。|CVE-2021-21968| | | | | | | | 
